symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout,breakout_pct,btc,candle,ema,ema_aligned,is_late,rsi,rsi_raw,squeeze,taker,taker_buy,vol,vol_ratio,vs_btc_pct
AAVEUSDT,2026-09-07 00:10,1788729000000,60.02,watch,15m,0.673,134.54,-0.253,-0.476,-0.357,1.8905,0.6659,0.2765,0.5531,0.7092,0.9811,0.3,0,0,0.7266,62.922,1.0,0.0,0.26538,0.8816,3.8449,1.1184
AAVEUSDT,2026-09-07 01:40,1788734400000,58.01,watch,5m,0.06,134.53,1.739,1.375,1.665,1.2039,0.1862,0.0,-0.4514,0.1875,0.863,1.0,1,0,0.9853,57.736,1.0,0.7234,0.70808,0.2334,1.9001,0.0751
AAVEUSDT,2026-09-07 02:15,1788736500000,62.4,watch,5m,0.557,135.47,0.65,0.118,0.148,2.0715,0.3407,0.2,0.311,0.3818,0.925,1.0,1,0,0.6526,70.169,1.0,0.0,0.26949,1.0,4.2724,0.4636
AAVEUSDT,2026-09-07 02:55,1788738900000,61.2,watch,15m,1.823,136.87,-0.774,-1.001,-0.782,1.4242,0.0804,0.0,0.0,0.8204,0.748,1.0,1,0,0.3594,73.687,0.8705,0.7609,0.71783,0.5508,2.8523,1.3409
AAVEUSDT,2026-09-07 05:35,1788748500000,64.15,watch,5m,-0.36,135.75,-1.606,-1.834,-1.82,5.2043,1.3589,0.4085,0.8169,0.8053,0.9889,0.3,0,0,0.6171,64.893,1.0,0.0,0.42794,1.0,6.8657,1.3105
AAVEUSDT,2026-09-07 13:00,1788775200000,60.78,watch,5m,-0.461,133.88,0.717,0.246,0.344,1.1481,0.2922,0.0,-0.461,0.0384,0.9489,1.0,1,0,0.5833,50.499,1.0,0.7752,0.72156,0.4166,2.4498,-0.2231
AAVEUSDT,2026-09-07 15:10,1788783000000,66.01,watch,5m,-0.214,135.11,-0.141,-0.311,-0.148,1.9411,0.3864,0.2,0.2002,0.6624,0.9384,1.0,1,0,0.7,66.577,1.0,0.3121,0.60113,0.8046,3.6137,1.0249
AAVEUSDT,2026-09-07 20:40,1788802800000,59.64,watch,5m,-0.466,132.54,-0.573,-0.671,-0.581,0.5077,0.1284,0.0,0.0755,0.2666,0.9842,1.0,1,0,0.9723,58.498,1.0,0.998,0.77948,0.0,0.3231,0.2332
AAVEUSDT,2026-09-07 22:55,1788810900000,59.63,watch,5m,-0.083,132.47,0.083,-0.038,0.008,0.7105,0.0529,0.0,-0.0754,0.1787,1.0,1.0,1,0,0.99,57.82,1.0,1.0,0.85871,0.0,0.6349,0.0574
AAVEUSDT,2026-09-07 23:30,1788813000000,58.82,watch,5m,-0.548,132.47,0.174,0.008,0.008,0.9841,0.1512,0.0,-0.0754,0.2369,0.9889,1.0,1,0,0.9238,56.628,1.0,0.9534,0.76788,0.0247,1.2741,0.1739
AAVEUSDT,2026-09-08 00:00,1788814800000,58.25,watch,15m,-1.066,132.72,-0.422,-1.01,-0.738,0.5806,0.1887,0.0,0.0528,0.2975,0.9812,1.0,1,0,0.7812,54.062,1.0,1.0,0.78905,0.0,0.1752,0.2951
AAVEUSDT,2026-09-08 04:55,1788832500000,60.75,watch,5m,-0.74,132.74,-1.258,-1.424,-1.371,1.1699,0.2265,0.0,-0.218,0.017,0.9308,1.0,1,0,0.8792,55.826,1.0,1.0,0.89945,0.1336,2.0473,-0.2659
AAVEUSDT,2026-09-08 12:30,1788859800000,58.5,watch,5m,-2.258,131.17,0.396,0.13,0.13,2.0441,0.3903,0.0,-0.0229,0.2584,0.9898,0.3,0,0,0.9976,57.957,1.0,0.5903,0.67348,0.416,2.4479,0.2169
AAVEUSDT,2026-09-08 21:55,1788893700000,58.16,watch,5m,-2.296,128.91,0.085,-0.132,0.085,0.9874,-0.031,0.0,-1.226,0.0,0.1591,0.3,0,1,0.0,38.225,1.0,0.6988,0.70168,1.0,4.7446,-0.554
AAVEUSDT,2026-09-09 01:45,1788907500000,59.84,watch,5m,-1.267,129.37,-0.386,-0.456,-0.386,0.8039,0.1936,0.0,0.0077,0.2152,1.0,1.0,1,0,0.9975,57.956,1.0,1.0,0.9099,0.0,0.8726,0.1305
AAVEUSDT,2026-09-09 03:10,1788912600000,61.2,watch,5m,-2.088,129.41,0.07,-0.178,-0.1,1.4852,0.1625,0.0,-0.0695,0.1984,0.8909,1.0,1,0,0.8587,60.543,1.0,0.5906,0.67355,0.5055,2.7164,0.0968
