min_score,pullback_pct,timeout_bars,tp_pct,sl_pct,trailing_act,trailing_dist,total_signals,filled_trades,fill_rate_pct,win_rate_pct,net_pnl_pct,profit_factor,expectancy_pct,max_dd_pct,oos_win_rate_pct,oos_net_pnl_pct,score_metric
75.0,0.8,2,0.7,3.0,2.0,0.6,44989,493,0.9,94.7,258.15,4.36,0.489,7.34,94.9,113.95,95.20
70.0,1.0,2,0.8,3.0,1.5,0.5,44989,460,0.9,92.0,285.90,4.10,0.609,8.94,91.5,113.44,95.15
75.0,1.0,2,0.7,3.5,2.5,0.8,44989,353,0.7,94.3,181.23,4.52,0.512,6.48,94.2,71.20,94.75
65.0,1.0,4,0.8,3.0,1.2,0.4,44989,985,2.0,88.2,419.27,2.46,0.433,9.05,87.6,152.96,94.66
75.0,0.8,3,0.8,3.0,1.5,0.5,44989,616,1.2,90.4,300.72,2.69,0.447,7.25,90.9,133.12,94.57
70.0,1.0,3,0.7,3.0,1.5,0.5,44989,616,1.2,92.4,314.35,3.53,0.496,8.48,92.0,126.51,94.30
75.0,1.0,2,0.8,2.5,1.2,0.4,44989,353,0.7,90.1,240.53,3.55,0.630,7.85,90.6,104.99,93.78
75.0,1.0,2,0.7,1.5,1.2,0.4,44989,353,0.7,83.6,184.24,2.90,0.505,5.68,82.6,75.71,93.35
60.0,1.0,2,1.0,3.5,1.5,0.5,44989,744,1.4,87.9,387.95,2.57,0.526,9.61,87.3,150.24,93.03
75.0,0.8,3,0.8,3.5,1.5,0.5,44989,616,1.2,91.7,318.09,2.77,0.458,7.67,92.9,146.51,92.96
75.0,0.8,3,0.7,3.0,1.5,0.5,44989,616,1.2,92.2,293.37,3.29,0.449,7.65,92.1,125.08,92.71
70.0,1.0,4,0.8,3.0,2.0,0.6,44989,725,1.5,89.2,306.33,2.91,0.457,8.50,87.7,97.70,92.61
60.0,1.0,2,1.0,3.0,1.5,0.5,44989,744,1.4,86.7,370.97,2.41,0.498,8.98,86.0,145.90,92.50
70.0,1.0,2,0.8,3.5,1.5,0.5,44989,460,0.9,92.6,288.51,4.75,0.643,9.94,91.5,106.44,92.31
70.0,1.0,2,1.0,3.0,1.5,0.5,44989,460,0.9,87.8,284.68,2.80,0.587,8.34,88.7,118.65,92.26
70.0,1.0,3,0.7,3.5,1.5,0.5,44989,616,1.2,93.0,317.62,4.03,0.525,9.39,92.0,118.50,92.23
75.0,0.8,2,0.7,2.0,1.5,0.5,44989,493,0.9,91.3,251.56,3.50,0.468,6.96,91.4,113.46,92.11
75.0,1.0,3,0.7,3.0,2.0,0.6,44989,466,0.9,92.3,226.43,3.65,0.489,7.33,91.2,87.47,92.03
65.0,1.0,3,0.8,3.5,2.0,0.6,44989,825,1.6,90.7,352.64,2.66,0.426,8.46,90.7,137.74,91.73
75.0,1.0,3,0.7,2.5,1.2,0.4,44989,466,0.9,89.5,250.66,3.26,0.535,7.90,87.9,98.63,91.73
75.0,1.0,2,0.8,3.5,1.5,0.5,44989,353,0.7,92.9,244.89,4.70,0.675,9.06,92.8,99.75,91.57
75.0,1.0,2,0.7,2.5,2.0,0.6,44989,353,0.7,91.2,183.84,3.06,0.478,5.94,92.0,81.18,91.49
70.0,1.0,2,1.0,3.0,1.2,0.4,44989,460,0.9,87.8,283.60,2.78,0.580,8.35,88.7,119.34,91.16
75.0,1.0,4,0.8,3.5,1.5,0.5,44989,537,1.1,90.1,288.63,3.40,0.556,9.20,88.6,102.34,90.89
70.0,1.0,2,0.8,2.5,1.2,0.4,44989,460,0.9,89.8,283.42,3.40,0.584,8.73,89.8,118.01,90.71
55.0,1.0,2,0.7,3.0,2.0,0.6,44989,1066,2.1,93.4,445.40,3.28,0.415,9.96,93.4,174.31,90.39
60.0,1.0,2,1.0,3.0,1.2,0.4,44989,744,1.4,86.7,366.67,2.39,0.491,9.08,86.0,144.85,90.24
70.0,1.0,4,0.7,3.5,2.0,0.6,44989,725,1.5,92.6,316.01,3.40,0.443,8.72,92.5,113.57,90.19
